Time_Period,Time_Period_Label,categoryCode,COD_categoryCode_Label,Formatted_FIPS,State,Deaths,Population,Age_Adjusted_Rate
1,1980-1984,21,Cancer of breast,02,AK,137,2280552,14.058830
1,1980-1984,21,Cancer of breast,04,AZ,2054,14484942,16.377350
1,1980-1984,21,Cancer of breast,05,AR,1521,11502991,13.649240
1,1980-1984,21,Cancer of breast,06,CA,18981,124223933,18.458100
1,1980-1984,21,Cancer of breast,08,CO,1811,15258368,16.324570
1,1980-1984,21,Cancer of breast,09,CT,3073,15728160,20.420650
1,1980-1984,21,Cancer of breast,10,DE,539,3009125,21.225280
1,1980-1984,21,Cancer of breast,11,DC,677,3185289,23.431480
1,1980-1984,21,Cancer of breast,12,FL,9933,52279426,16.633520
1,1980-1984,21,Cancer of breast,13,GA,3425,28264938,15.470040
1,1980-1984,21,Cancer of breast,15,HI,414,4987275,11.006430
1,1980-1984,21,Cancer of breast,16,ID,592,4852674,15.264300
1,1980-1984,21,Cancer of breast,17,IL,10095,57163233,20.004960
1,1980-1984,21,Cancer of breast,18,IN,4418,27349290,18.595830
1,1980-1984,21,Cancer of breast,19,IA,2499,14440377,17.521990
1,1980-1984,21,Cancer of breast,20,KS,1878,12002001,16.371040
1,1980-1984,21,Cancer of breast,21,KY,2749,18404053,17.316740
1,1980-1984,21,Cancer of breast,22,LA,2733,21667783,16.565360
1,1980-1984,21,Cancer of breast,23,ME,1006,5697137,18.627510
1,1980-1984,21,Cancer of breast,24,MD,3597,21465731,20.386550
1,1980-1984,21,Cancer of breast,25,MA,6252,28943710,22.383320
1,1980-1984,21,Cancer of breast,26,MI,7328,45693523,19.118400
1,1980-1984,21,Cancer of breast,27,MN,3303,20632739,17.935250
1,1980-1984,21,Cancer of breast,28,MS,1518,12769708,14.043270
1,1980-1984,21,Cancer of breast,29,MO,4233,24713947,17.791790
1,1980-1984,21,Cancer of breast,30,MT,585,4023793,17.074810
1,1980-1984,21,Cancer of breast,31,NE,1318,7909314,17.527370
1,1980-1984,21,Cancer of breast,32,NV,553,4362389,16.040450
1,1980-1984,21,Cancer of breast,33,NH,822,4743655,19.892050
1,1980-1984,21,Cancer of breast,34,NJ,7774,37209888,22.005250
1,1980-1984,21,Cancer of breast,35,NM,799,6821677,15.568490
1,1980-1984,21,Cancer of breast,36,NY,18365,88217457,21.822230
1,1980-1984,21,Cancer of breast,37,NC,4221,30110181,16.459050
1,1980-1984,21,Cancer of breast,38,ND,515,3341641,17.538250
1,1980-1984,21,Cancer of breast,39,OH,9671,53838704,20.160320
1,1980-1984,21,Cancer of breast,40,OK,2293,15923714,15.827980
1,1980-1984,21,Cancer of breast,41,OR,2087,13288835,17.510360
1,1980-1984,21,Cancer of breast,42,PA,11983,59250826,20.079810
1,1980-1984,21,Cancer of breast,44,RI,976,4775876,20.419150
1,1980-1984,21,Cancer of breast,45,SC,2153,16025171,17.112730
1,1980-1984,21,Cancer of breast,46,SD,555,3464650,16.883920
1,1980-1984,21,Cancer of breast,47,TN,3260,23214878,15.765580
1,1980-1984,21,Cancer of breast,48,TX,8630,76212672,14.710770
1,1980-1984,21,Cancer of breast,49,UT,721,7755356,14.700330
1,1980-1984,21,Cancer of breast,50,VT,441,2598147,19.678420
1,1980-1984,21,Cancer of breast,51,VA,3972,27517002,17.746290
1,1980-1984,21,Cancer of breast,53,WA,3121,21306729,17.187470
1,1980-1984,21,Cancer of breast,54,WV,1479,9719871,16.067330
1,1980-1984,21,Cancer of breast,55,WI,4116,23631603,19.005140
1,1980-1984,21,Cancer of breast,56,WY,259,2485549,14.992150
1,1980-1984,52,Heart disease,01,AL,61192,19630376,376.788480
1,1980-1984,52,Heart disease,02,AK,1881,2280552,305.730510
1,1980-1984,52,Heart disease,04,AZ,37469,14484942,329.798640
1,1980-1984,52,Heart disease,05,AR,42452,11502991,379.801400
1,1980-1984,52,Heart disease,06,CA,333368,124223933,356.940920
1,1980-1984,52,Heart disease,08,CO,32736,15258368,328.381520
1,1980-1984,52,Heart disease,09,CT,51967,15728160,366.095130
1,1980-1984,52,Heart disease,10,DE,9966,3009125,428.083330
1,1980-1984,52,Heart disease,11,DC,10939,3185289,397.274860
1,1980-1984,52,Heart disease,12,FL,206059,52279426,346.521140
1,1980-1984,52,Heart disease,13,GA,80285,28264938,399.509450
1,1980-1984,52,Heart disease,15,HI,8337,4987275,269.858200
1,1980-1984,52,Heart disease,16,ID,12200,4852674,340.539800
1,1980-1984,52,Heart disease,17,IL,207662,57163233,436.372040
1,1980-1984,52,Heart disease,18,IN,90134,27349290,399.684790
1,1980-1984,52,Heart disease,19,IA,53779,14440377,356.344730
1,1980-1984,52,Heart disease,20,KS,41656,12002001,353.718510
1,1980-1984,52,Heart disease,21,KY,64533,18404053,421.564170
1,1980-1984,52,Heart disease,22,LA,65429,21667783,429.741230
1,1980-1984,52,Heart disease,23,ME,20742,5697137,385.508330
1,1980-1984,52,Heart disease,24,MD,64423,21465731,410.667560
1,1980-1984,52,Heart disease,25,MA,106910,28943710,384.894410
1,1980-1984,52,Heart disease,26,MI,150777,45693523,427.041520
1,1980-1984,52,Heart disease,27,MN,61718,20632739,327.872760
1,1980-1984,52,Heart disease,28,MS,41757,12769708,397.768310
1,1980-1984,52,Heart disease,29,MO,92121,24713947,383.744380
1,1980-1984,52,Heart disease,30,MT,11395,4023793,345.313820
1,1980-1984,52,Heart disease,31,NE,28121,7909314,352.002980
1,1980-1984,52,Heart disease,32,NV,10244,4362389,385.694930
1,1980-1984,52,Heart disease,33,NH,14696,4743655,368.796640
1,1980-1984,52,Heart disease,34,NJ,141212,37209888,436.009810
1,1980-1984,52,Heart disease,35,NM,12124,6821677,273.737540
1,1980-1984,52,Heart disease,36,NY,367449,88217457,458.478760
1,1980-1984,52,Heart disease,37,NC,91369,30110181,390.520370
1,1980-1984,52,Heart disease,38,ND,10559,3341641,346.557760
1,1980-1984,52,Heart disease,39,OH,191543,53838704,423.664050
1,1980-1984,52,Heart disease,40,OK,54278,15923714,385.472620
1,1980-1984,52,Heart disease,41,OR,39096,13288835,337.568770
1,1980-1984,52,Heart disease,42,PA,247191,59250826,435.346440
1,1980-1984,52,Heart disease,44,RI,18838,4775876,392.905460
1,1980-1984,52,Heart disease,45,SC,46314,16025171,409.176620
1,1980-1984,52,Heart disease,46,SD,13131,3464650,372.025140
1,1980-1984,52,Heart disease,47,TN,75546,23214878,390.280100
1,1980-1984,52,Heart disease,48,TX,194629,76212672,367.831380
1,1980-1984,52,Heart disease,49,UT,14876,7755356,350.115350
1,1980-1984,52,Heart disease,50,VT,8580,2598147,384.044910
1,1980-1984,52,Heart disease,51,VA,78819,27517002,394.137650
1,1980-1984,52,Heart disease,53,WA,57943,21306729,344.158580
1,1980-1984,52,Heart disease,54,WV,39602,9719871,451.378140
1,1980-1984,52,Heart disease,55,WI,82142,23631603,382.179860
1,1980-1984,52,Heart disease,56,WY,5210,2485549,348.517500
1,1980-1984,66,Influenza and pneumonia,01,AL,3782,19630376,24.890960
1,1980-1984,66,Influenza and pneumonia,02,AK,216,2280552,43.140150
1,1980-1984,66,Influenza and pneumonia,04,AZ,3283,14484942,31.790760
1,1980-1984,66,Influenza and pneumonia,05,AR,2790,11502991,26.350430
1,1980-1984,66,Influenza and pneumonia,06,CA,29413,124223933,33.200240
1,1980-1984,66,Influenza and pneumonia,08,CO,3545,15258368,37.521770
1,1980-1984,66,Influenza and pneumonia,09,CT,4038,15728160,30.132370
1,1980-1984,66,Influenza and pneumonia,10,DE,496,3009125,22.432510
1,1980-1984,66,Influenza and pneumonia,11,DC,934,3185289,35.086750
1,1980-1984,66,Influenza and pneumonia,12,FL,11126,52279426,20.010580
1,1980-1984,66,Influenza and pneumonia,13,GA,6066,28264938,32.383250
1,1980-1984,66,Influenza and pneumonia,15,HI,873,4987275,31.701960
1,1980-1984,66,Influenza and pneumonia,16,ID,1098,4852674,33.232140
1,1980-1984,66,Influenza and pneumonia,17,IL,13773,57163233,30.121230
1,1980-1984,66,Influenza and pneumonia,18,IN,5686,27349290,26.516240
1,1980-1984,66,Influenza and pneumonia,19,IA,4742,14440377,31.210760
1,1980-1984,66,Influenza and pneumonia,20,KS,3453,12002001,29.472300
1,1980-1984,66,Influenza and pneumonia,21,KY,4803,18404053,33.205810
1,1980-1984,66,Influenza and pneumonia,22,LA,3620,21667783,24.615610
1,1980-1984,66,Influenza and pneumonia,23,ME,1501,5697137,28.686960
1,1980-1984,66,Influenza and pneumonia,24,MD,3738,21465731,26.072580
1,1980-1984,66,Influenza and pneumonia,25,MA,9728,28943710,36.281730
1,1980-1984,66,Influenza and pneumonia,26,MI,9353,45693523,28.023310
1,1980-1984,66,Influenza and pneumonia,27,MN,5866,20632739,31.432560
1,1980-1984,66,Influenza and pneumonia,28,MS,2620,12769708,25.949090
1,1980-1984,66,Influenza and pneumonia,29,MO,7255,24713947,31.176540
1,1980-1984,66,Influenza and pneumonia,30,MT,1048,4023793,33.020730
1,1980-1984,66,Influenza and pneumonia,31,NE,2481,7909314,30.775540
1,1980-1984,66,Influenza and pneumonia,32,NV,676,4362389,29.404700
1,1980-1984,66,Influenza and pneumonia,33,NH,1112,4743655,29.646850
1,1980-1984,66,Influenza and pneumonia,34,NJ,8324,37209888,27.242160
1,1980-1984,66,Influenza and pneumonia,35,NM,1348,6821677,33.560380
1,1980-1984,66,Influenza and pneumonia,36,NY,26598,88217457,34.597330
1,1980-1984,66,Influenza and pneumonia,37,NC,6690,30110181,31.570920
1,1980-1984,66,Influenza and pneumonia,38,ND,942,3341641,31.853810
1,1980-1984,66,Influenza and pneumonia,39,OH,11466,53838704,26.812620
1,1980-1984,66,Influenza and pneumonia,40,OK,4265,15923714,31.708510
1,1980-1984,66,Influenza and pneumonia,41,OR,3310,13288835,30.334740
1,1980-1984,66,Influenza and pneumonia,42,PA,13513,59250826,25.269290
1,1980-1984,66,Influenza and pneumonia,44,RI,1034,4775876,22.772390
1,1980-1984,66,Influenza and pneumonia,45,SC,3163,16025171,30.543510
1,1980-1984,66,Influenza and pneumonia,46,SD,1189,3464650,33.463170
1,1980-1984,66,Influenza and pneumonia,47,TN,5422,23214878,30.152400
1,1980-1984,66,Influenza and pneumonia,48,TX,14217,76212672,28.557130
1,1980-1984,66,Influenza and pneumonia,49,UT,1201,7755356,30.337950
1,1980-1984,66,Influenza and pneumonia,50,VT,742,2598147,34.148740
1,1980-1984,66,Influenza and pneumonia,51,VA,6070,27517002,33.077080
1,1980-1984,66,Influenza and pneumonia,53,WA,4847,21306729,30.618780
1,1980-1984,66,Influenza and pneumonia,54,WV,2213,9719871,26.841830
1,1980-1984,66,Influenza and pneumonia,55,WI,5761,23631603,27.598930
1,1980-1984,66,Influenza and pneumonia,56,WY,480,2485549,34.803240
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",01,AL,43,19630376,0.196950
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",02,AK,SUPPRESSED,2280552,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",04,AZ,17,14484942,0.116220
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",05,AR,14,11502991,0.137810
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",06,CA,189,124223933,0.127830
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",08,CO,19,15258368,0.094990
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",09,CT,SUPPRESSED,15728160,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",10,DE,SUPPRESSED,3009125,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",11,DC,SUPPRESSED,3185289,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",12,FL,82,52279426,0.144240
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",13,GA,55,28264938,0.157260
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",15,HI,SUPPRESSED,4987275,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",16,ID,SUPPRESSED,4852674,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",17,IL,92,57163233,0.140480
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",18,IN,23,27349290,0.072870
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",19,IA,16,14440377,0.092630
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",20,KS,21,12002001,0.155460
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",21,KY,25,18404053,0.133730
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",22,LA,40,21667783,0.162640
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",23,ME,SUPPRESSED,5697137,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",24,MD,18,21465731,0.065690
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",25,MA,SUPPRESSED,28943710,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",26,MI,44,45693523,0.085290
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",27,MN,18,20632739,0.075960
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",28,MS,15,12769708,0.113480
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",29,MO,22,24713947,0.079600
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",30,MT,SUPPRESSED,4023793,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",31,NE,SUPPRESSED,7909314,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",32,NV,SUPPRESSED,4362389,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",33,NH,SUPPRESSED,4743655,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",34,NJ,35,37209888,0.086020
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",35,NM,14,6821677,0.195850
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",36,NY,176,88217457,0.181540
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",37,NC,42,30110181,0.121750
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",38,ND,SUPPRESSED,3341641,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",39,OH,57,53838704,0.092640
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",40,OK,25,15923714,0.143870
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",41,OR,13,13288835,0.079940
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",42,PA,49,59250826,0.073560
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",44,RI,SUPPRESSED,4775876,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",45,SC,30,16025171,0.164350
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",46,SD,SUPPRESSED,3464650,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",47,TN,40,23214878,0.150370
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",48,TX,124,76212672,0.137300
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",49,UT,12,7755356,0.140270
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",50,VT,SUPPRESSED,2598147,SUPPRESSED
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",51,VA,23,27517002,0.064340
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",53,WA,18,21306729,0.075030
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",54,WV,10,9719871,0.092180
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",55,WI,16,23631603,0.059490
1,1980-1984,87,"Pregnancy, childbirth, and the puerperium",56,WY,SUPPRESSED,2485549,SUPPRESSED
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",01,AL,4042,19630376,21.209390
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",02,AK,639,2280552,26.958810
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",04,AZ,2494,14484942,17.493520
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",05,AR,2126,11502991,18.958510
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",06,CA,19079,124223933,14.863160
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",08,CO,2270,15258368,14.979010
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",09,CT,1147,15728160,6.977190
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",10,DE,263,3009125,8.398310
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",11,DC,655,3185289,18.199160
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",12,FL,10532,52279426,20.059280
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",13,GA,5751,28264938,20.873990
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",15,HI,287,4987275,5.774010
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",16,ID,678,4852674,15.077570
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",17,IL,6766,57163233,11.424970
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",18,IN,3347,27349290,12.374160
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",19,IA,1191,14440377,8.144600
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",20,KS,1507,12002001,12.467480
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",21,KY,3238,18404053,18.122100
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",22,LA,4956,21667783,23.214900
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",23,ME,516,5697137,8.999520
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",24,MD,2703,21465731,11.983050
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",25,MA,1371,28943710,4.466500
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",26,MI,6216,45693523,13.471480
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",27,MN,1418,20632739,6.842720
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",28,MS,2703,12769708,22.519590
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",29,MO,3969,24713947,15.823850
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",30,MT,639,4023793,16.387350
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",31,NE,721,7909314,9.199750
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",32,NV,1181,4362389,26.734730
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",33,NH,399,4743655,8.344650
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",34,NJ,2340,37209888,6.100760
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",35,NM,1359,6821677,20.440740
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",36,NY,8921,88217457,9.630300
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",37,NC,5044,30110181,16.964830
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",38,ND,282,3341641,8.028320
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",39,OH,6118,53838704,11.312210
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",40,OK,2800,15923714,17.637230
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",41,OR,1743,13288835,13.278740
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",42,PA,5858,59250826,9.635780
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",44,RI,225,4775876,4.551850
1,1980-1984,92,"Firearm related (accidental, suicide, homicide, und., legal interv.)",45,SC,2703,16025171,17.361240
